TX	Date	RX	NonEqualized_Signal_Count
19-2	2021_03_23	18-19	50
19-2	2021_03_23	18-2	50
19-2	2021_03_23	19-1	50
19-2	2021_03_23	19-2	50
19-2	2021_03_23	2-1	0
19-2	2021_03_23	20-1	50
19-2	2021_03_23	20-19	50
19-2	2021_03_23	3-19	50
19-2	2021_03_23	7-14	50
19-2	2021_03_23	7-7	0
19-2	2021_03_23	8-14	50
19-2	2021_03_23	8-7	50
19-2	2021_03_23	8-8	50
19-20	2021_03_01	1-1	50
19-20	2021_03_01	1-19	50
19-20	2021_03_01	1-20	50
19-20	2021_03_01	13-7	50
19-20	2021_03_01	14-7	50
19-20	2021_03_01	18-19	50
19-20	2021_03_01	18-2	50
19-20	2021_03_01	19-1	50
19-20	2021_03_01	19-2	50
19-20	2021_03_01	2-1	50
19-20	2021_03_01	20-1	50
19-20	2021_03_01	20-19	50
19-20	2021_03_01	3-19	50
19-20	2021_03_01	7-14	50
19-20	2021_03_01	7-7	50
19-20	2021_03_01	8-14	50
19-20	2021_03_01	8-7	50
19-20	2021_03_01	8-8	50
19-20	2021_03_08	1-1	50
19-20	2021_03_08	1-19	50
19-20	2021_03_08	1-20	50
19-20	2021_03_08	13-7	50
19-20	2021_03_08	14-7	50
19-20	2021_03_08	18-19	50
19-20	2021_03_08	18-2	50
19-20	2021_03_08	19-1	50
19-20	2021_03_08	19-2	50
19-20	2021_03_08	2-1	50
19-20	2021_03_08	20-1	50
19-20	2021_03_08	20-19	50
19-20	2021_03_08	3-19	50
19-20	2021_03_08	7-14	50
19-20	2021_03_08	7-7	50
19-20	2021_03_08	8-14	50
19-20	2021_03_08	8-7	50
19-20	2021_03_08	8-8	50
19-20	2021_03_15	1-1	50
19-20	2021_03_15	1-19	50
19-20	2021_03_15	1-20	50
19-20	2021_03_15	13-7	50
19-20	2021_03_15	14-7	50
19-20	2021_03_15	18-19	50
19-20	2021_03_15	18-2	50
19-20	2021_03_15	19-1	50
19-20	2021_03_15	19-2	50
19-20	2021_03_15	2-1	50
19-20	2021_03_15	20-1	50
19-20	2021_03_15	20-19	50
19-20	2021_03_15	3-19	50
19-20	2021_03_15	7-14	50
19-20	2021_03_15	7-7	50
19-20	2021_03_15	8-14	50
19-20	2021_03_15	8-7	50
19-20	2021_03_15	8-8	50
19-20	2021_03_23	1-1	50
19-20	2021_03_23	1-19	50
19-20	2021_03_23	1-20	50
19-20	2021_03_23	13-7	50
19-20	2021_03_23	14-7	50
19-20	2021_03_23	18-19	50
19-20	2021_03_23	18-2	50
19-20	2021_03_23	19-1	50
19-20	2021_03_23	19-2	50
19-20	2021_03_23	2-1	50
19-20	2021_03_23	20-1	50
19-20	2021_03_23	20-19	50
19-20	2021_03_23	3-19	50
19-20	2021_03_23	7-14	50
19-20	2021_03_23	7-7	50
19-20	2021_03_23	8-14	50
19-20	2021_03_23	8-7	50
19-20	2021_03_23	8-8	50
19-3	2021_03_01	1-1	50
19-3	2021_03_01	1-19	50
19-3	2021_03_01	1-20	50
19-3	2021_03_01	13-7	50
19-3	2021_03_01	14-7	50
19-3	2021_03_01	18-19	50
19-3	2021_03_01	18-2	39
19-3	2021_03_01	19-1	50
19-3	2021_03_01	19-2	50
19-3	2021_03_01	2-1	50
19-3	2021_03_01	20-1	50
19-3	2021_03_01	20-19	50
19-3	2021_03_01	3-19	50
19-3	2021_03_01	7-14	50
19-3	2021_03_01	7-7	50
19-3	2021_03_01	8-14	50
19-3	2021_03_01	8-7	50
19-3	2021_03_01	8-8	50
19-3	2021_03_08	1-1	50
19-3	2021_03_08	1-19	50
19-3	2021_03_08	1-20	50
19-3	2021_03_08	13-7	50
19-3	2021_03_08	14-7	50
19-3	2021_03_08	18-19	50
19-3	2021_03_08	18-2	50
19-3	2021_03_08	19-1	50
19-3	2021_03_08	19-2	50
19-3	2021_03_08	2-1	50
19-3	2021_03_08	20-1	50
19-3	2021_03_08	20-19	50
19-3	2021_03_08	3-19	50
19-3	2021_03_08	7-14	50
19-3	2021_03_08	7-7	50
19-3	2021_03_08	8-14	50
19-3	2021_03_08	8-7	50
19-3	2021_03_08	8-8	50
19-3	2021_03_15	1-1	50
19-3	2021_03_15	1-19	50
19-3	2021_03_15	1-20	50
19-3	2021_03_15	13-7	50
19-3	2021_03_15	14-7	50
19-3	2021_03_15	18-19	50
19-3	2021_03_15	18-2	0
19-3	2021_03_15	19-1	50
19-3	2021_03_15	19-2	34
19-3	2021_03_15	2-1	50
19-3	2021_03_15	20-1	50
19-3	2021_03_15	20-19	50
19-3	2021_03_15	3-19	50
19-3	2021_03_15	7-14	50
19-3	2021_03_15	7-7	50
19-3	2021_03_15	8-14	50
19-3	2021_03_15	8-7	50
19-3	2021_03_15	8-8	50
19-3	2021_03_23	1-1	50
19-3	2021_03_23	1-19	50
19-3	2021_03_23	1-20	50
19-3	2021_03_23	13-7	50
19-3	2021_03_23	14-7	50
19-3	2021_03_23	18-19	50
19-3	2021_03_23	18-2	12
19-3	2021_03_23	19-1	50
19-3	2021_03_23	19-2	0
19-3	2021_03_23	2-1	50
19-3	2021_03_23	20-1	50
19-3	2021_03_23	20-19	50
19-3	2021_03_23	3-19	50
19-3	2021_03_23	7-14	50
19-3	2021_03_23	7-7	50
19-3	2021_03_23	8-14	50
19-3	2021_03_23	8-7	50
19-3	2021_03_23	8-8	50
19-4	2021_03_01	1-1	50
19-4	2021_03_01	1-19	50
19-4	2021_03_01	1-20	50
19-4	2021_03_01	13-7	50
19-4	2021_03_01	14-7	50
19-4	2021_03_01	18-19	50
19-4	2021_03_01	18-2	20
19-4	2021_03_01	19-1	50
19-4	2021_03_01	19-2	27
19-4	2021_03_01	2-1	50
19-4	2021_03_01	20-1	50
19-4	2021_03_01	20-19	50
19-4	2021_03_01	3-19	50
19-4	2021_03_01	7-14	50
19-4	2021_03_01	7-7	50
19-4	2021_03_01	8-14	50
19-4	2021_03_01	8-7	50
19-4	2021_03_01	8-8	50
19-4	2021_03_08	1-1	50
19-4	2021_03_08	1-19	50
19-4	2021_03_08	1-20	50
19-4	2021_03_08	13-7	50
19-4	2021_03_08	14-7	50
19-4	2021_03_08	18-19	50
19-4	2021_03_08	18-2	31
19-4	2021_03_08	19-1	50
19-4	2021_03_08	19-2	0
19-4	2021_03_08	2-1	50
19-4	2021_03_08	20-1	50
19-4	2021_03_08	20-19	50
19-4	2021_03_08	3-19	50
19-4	2021_03_08	7-14	50
19-4	2021_03_08	7-7	50
19-4	2021_03_08	8-14	50
19-4	2021_03_08	8-7	50
19-4	2021_03_08	8-8	50
19-4	2021_03_15	1-1	50
19-4	2021_03_15	1-19	50
19-4	2021_03_15	1-20	50
19-4	2021_03_15	13-7	50
19-4	2021_03_15	14-7	50
19-4	2021_03_15	18-19	50
19-4	2021_03_15	18-2	36
19-4	2021_03_15	19-1	50
19-4	2021_03_15	19-2	0
19-4	2021_03_15	2-1	50
19-4	2021_03_15	20-1	50
19-4	2021_03_15	20-19	50
19-4	2021_03_15	3-19	50
19-4	2021_03_15	7-14	50
19-4	2021_03_15	7-7	50
19-4	2021_03_15	8-14	50
19-4	2021_03_15	8-7	50
19-4	2021_03_15	8-8	50
19-4	2021_03_23	1-1	50
19-4	2021_03_23	1-19	50
19-4	2021_03_23	1-20	50
19-4	2021_03_23	13-7	50
19-4	2021_03_23	14-7	50
19-4	2021_03_23	18-19	50
19-4	2021_03_23	18-2	33
19-4	2021_03_23	19-1	50
19-4	2021_03_23	19-2	41
19-4	2021_03_23	2-1	50
19-4	2021_03_23	20-1	50
19-4	2021_03_23	20-19	50
19-4	2021_03_23	3-19	50
19-4	2021_03_23	7-14	50
19-4	2021_03_23	7-7	50
19-4	2021_03_23	8-14	50
19-4	2021_03_23	8-7	50
19-4	2021_03_23	8-8	50
19-6	2021_03_01	1-1	50
19-6	2021_03_01	1-19	50
19-6	2021_03_01	1-20	50
19-6	2021_03_01	13-7	50
19-6	2021_03_01	14-7	50
19-6	2021_03_01	18-19	50
19-6	2021_03_01	18-2	50
19-6	2021_03_01	19-1	50
19-6	2021_03_01	19-2	50
19-6	2021_03_01	2-1	50
19-6	2021_03_01	20-1	50
19-6	2021_03_01	20-19	50
19-6	2021_03_01	3-19	50
19-6	2021_03_01	7-14	50
19-6	2021_03_01	7-7	50
19-6	2021_03_01	8-14	50
19-6	2021_03_01	8-7	50
19-6	2021_03_01	8-8	50
19-6	2021_03_08	1-1	50
19-6	2021_03_08	1-19	50
19-6	2021_03_08	1-20	50
19-6	2021_03_08	13-7	50
19-6	2021_03_08	14-7	50
19-6	2021_03_08	18-19	50
19-6	2021_03_08	18-2	50
19-6	2021_03_08	19-1	50
19-6	2021_03_08	19-2	50
19-6	2021_03_08	2-1	50
19-6	2021_03_08	20-1	50
19-6	2021_03_08	20-19	50
19-6	2021_03_08	3-19	50
19-6	2021_03_08	7-14	50
19-6	2021_03_08	7-7	50
19-6	2021_03_08	8-14	50
19-6	2021_03_08	8-7	50
19-6	2021_03_08	8-8	50
19-6	2021_03_15	1-1	50
19-6	2021_03_15	1-19	50
19-6	2021_03_15	1-20	50
19-6	2021_03_15	13-7	50
19-6	2021_03_15	14-7	50
19-6	2021_03_15	18-19	50
19-6	2021_03_15	18-2	50
19-6	2021_03_15	19-1	50
19-6	2021_03_15	19-2	50
19-6	2021_03_15	2-1	50
19-6	2021_03_15	20-1	50
19-6	2021_03_15	20-19	50
19-6	2021_03_15	3-19	50
19-6	2021_03_15	7-14	50
19-6	2021_03_15	7-7	50
19-6	2021_03_15	8-14	50
19-6	2021_03_15	8-7	50
19-6	2021_03_15	8-8	50
19-6	2021_03_23	1-1	50
19-6	2021_03_23	1-19	50
19-6	2021_03_23	1-20	50
19-6	2021_03_23	13-7	50
19-6	2021_03_23	14-7	50
19-6	2021_03_23	18-19	50
19-6	2021_03_23	18-2	50
19-6	2021_03_23	19-1	50
19-6	2021_03_23	19-2	50
19-6	2021_03_23	2-1	50
19-6	2021_03_23	20-1	50
19-6	2021_03_23	20-19	50
19-6	2021_03_23	3-19	50
19-6	2021_03_23	7-14	50
19-6	2021_03_23	7-7	50
19-6	2021_03_23	8-14	50
19-6	2021_03_23	8-7	50
19-6	2021_03_23	8-8	50
19-7	2021_03_01	1-1	50
19-7	2021_03_01	1-19	50
19-7	2021_03_01	1-20	50
19-7	2021_03_01	13-7	50
19-7	2021_03_01	14-7	50
19-7	2021_03_01	18-19	50
19-7	2021_03_01	18-2	50
19-7	2021_03_01	19-1	50
19-7	2021_03_01	19-2	50
19-7	2021_03_01	2-1	50
19-7	2021_03_01	20-1	50
19-7	2021_03_01	20-19	50
19-7	2021_03_01	3-19	50
19-7	2021_03_01	7-14	50
19-7	2021_03_01	7-7	50
19-7	2021_03_01	8-14	50
19-7	2021_03_01	8-7	50
19-7	2021_03_01	8-8	50
19-7	2021_03_08	1-1	50
19-7	2021_03_08	1-19	50
19-7	2021_03_08	1-20	50
19-7	2021_03_08	13-7	50
19-7	2021_03_08	14-7	50
19-7	2021_03_08	18-19	50
19-7	2021_03_08	18-2	50
19-7	2021_03_08	19-1	50
19-7	2021_03_08	19-2	50
19-7	2021_03_08	2-1	50
19-7	2021_03_08	20-1	50
19-7	2021_03_08	20-19	50
19-7	2021_03_08	3-19	50
19-7	2021_03_08	7-14	50
19-7	2021_03_08	7-7	50
19-7	2021_03_08	8-14	50
19-7	2021_03_08	8-7	50
19-7	2021_03_08	8-8	50
19-7	2021_03_15	1-1	50
19-7	2021_03_15	1-19	50
19-7	2021_03_15	1-20	50
19-7	2021_03_15	13-7	50
19-7	2021_03_15	14-7	50
19-7	2021_03_15	18-19	50
19-7	2021_03_15	18-2	50
19-7	2021_03_15	19-1	50
19-7	2021_03_15	19-2	50
19-7	2021_03_15	2-1	50
19-7	2021_03_15	20-1	50
19-7	2021_03_15	20-19	50
19-7	2021_03_15	3-19	50
19-7	2021_03_15	7-14	50
19-7	2021_03_15	7-7	50
19-7	2021_03_15	8-14	50
19-7	2021_03_15	8-7	50
19-7	2021_03_15	8-8	50
19-7	2021_03_23	1-1	50
19-7	2021_03_23	1-19	50
19-7	2021_03_23	1-20	50
19-7	2021_03_23	13-7	50
19-7	2021_03_23	14-7	50
19-7	2021_03_23	18-19	50
19-7	2021_03_23	18-2	50
19-7	2021_03_23	19-1	50
19-7	2021_03_23	19-2	50
19-7	2021_03_23	2-1	50
19-7	2021_03_23	20-1	50
19-7	2021_03_23	20-19	50
19-7	2021_03_23	3-19	50
19-7	2021_03_23	7-14	50
19-7	2021_03_23	7-7	50
19-7	2021_03_23	8-14	50
19-7	2021_03_23	8-7	50
19-7	2021_03_23	8-8	50
19-8	2021_03_01	1-1	50
19-8	2021_03_01	1-19	50
19-8	2021_03_01	1-20	50
19-8	2021_03_01	13-7	50
19-8	2021_03_01	14-7	50
19-8	2021_03_01	18-19	50
19-8	2021_03_01	18-2	50
19-8	2021_03_01	19-1	50
19-8	2021_03_01	19-2	50
19-8	2021_03_01	2-1	50
19-8	2021_03_01	20-1	50
19-8	2021_03_01	20-19	50
19-8	2021_03_01	3-19	50
19-8	2021_03_01	7-14	50
19-8	2021_03_01	7-7	50
19-8	2021_03_01	8-14	50
19-8	2021_03_01	8-7	50
19-8	2021_03_01	8-8	50
19-8	2021_03_08	1-1	50
19-8	2021_03_08	1-19	50
19-8	2021_03_08	1-20	50
19-8	2021_03_08	13-7	50
19-8	2021_03_08	14-7	50
19-8	2021_03_08	18-19	50
19-8	2021_03_08	18-2	50
19-8	2021_03_08	19-1	50
19-8	2021_03_08	19-2	50
19-8	2021_03_08	2-1	50
19-8	2021_03_08	20-1	50
19-8	2021_03_08	20-19	50
19-8	2021_03_08	3-19	50
19-8	2021_03_08	7-14	50
19-8	2021_03_08	7-7	50
19-8	2021_03_08	8-14	50
19-8	2021_03_08	8-7	50
19-8	2021_03_08	8-8	50
19-8	2021_03_15	1-1	50
19-8	2021_03_15	1-19	50
19-8	2021_03_15	1-20	50
19-8	2021_03_15	13-7	50
19-8	2021_03_15	14-7	50
19-8	2021_03_15	18-19	50
19-8	2021_03_15	18-2	50
19-8	2021_03_15	19-1	50
19-8	2021_03_15	19-2	50
19-8	2021_03_15	2-1	50
19-8	2021_03_15	20-1	50
19-8	2021_03_15	20-19	50
19-8	2021_03_15	3-19	50
19-8	2021_03_15	7-14	50
19-8	2021_03_15	7-7	50
19-8	2021_03_15	8-14	50
19-8	2021_03_15	8-7	50
19-8	2021_03_15	8-8	50
19-8	2021_03_23	1-1	50
19-8	2021_03_23	1-19	50
19-8	2021_03_23	1-20	50
19-8	2021_03_23	13-7	50
19-8	2021_03_23	14-7	50
19-8	2021_03_23	18-19	50
19-8	2021_03_23	18-2	50
19-8	2021_03_23	19-1	50
19-8	2021_03_23	19-2	50
19-8	2021_03_23	2-1	50
19-8	2021_03_23	20-1	50
19-8	2021_03_23	20-19	50
19-8	2021_03_23	3-19	50
19-8	2021_03_23	7-14	50
19-8	2021_03_23	7-7	50
19-8	2021_03_23	8-14	50
19-8	2021_03_23	8-7	50
19-8	2021_03_23	8-8	50
19-9	2021_03_01	1-1	50
19-9	2021_03_01	1-19	50
19-9	2021_03_01	1-20	50
19-9	2021_03_01	13-7	50
19-9	2021_03_01	14-7	50
19-9	2021_03_01	18-19	50
19-9	2021_03_01	18-2	50
19-9	2021_03_01	19-1	50
19-9	2021_03_01	19-2	50
19-9	2021_03_01	2-1	50
19-9	2021_03_01	20-1	50
19-9	2021_03_01	20-19	50
19-9	2021_03_01	3-19	50
19-9	2021_03_01	7-14	50
19-9	2021_03_01	7-7	50
19-9	2021_03_01	8-14	50
19-9	2021_03_01	8-7	50
19-9	2021_03_01	8-8	50
19-9	2021_03_08	1-1	50
19-9	2021_03_08	1-19	50
19-9	2021_03_08	1-20	50
19-9	2021_03_08	13-7	50
19-9	2021_03_08	14-7	50
19-9	2021_03_08	18-19	50
19-9	2021_03_08	18-2	50
19-9	2021_03_08	19-1	50
19-9	2021_03_08	19-2	50
19-9	2021_03_08	2-1	50
19-9	2021_03_08	20-1	50
19-9	2021_03_08	20-19	50
19-9	2021_03_08	3-19	50
19-9	2021_03_08	7-14	50
19-9	2021_03_08	7-7	50
19-9	2021_03_08	8-14	50
19-9	2021_03_08	8-7	50
19-9	2021_03_08	8-8	50
19-9	2021_03_15	1-1	50
19-9	2021_03_15	1-19	50
19-9	2021_03_15	1-20	50
19-9	2021_03_15	13-7	50
19-9	2021_03_15	14-7	50
19-9	2021_03_15	18-19	50
19-9	2021_03_15	18-2	50
19-9	2021_03_15	19-1	50
19-9	2021_03_15	19-2	50
19-9	2021_03_15	2-1	50
19-9	2021_03_15	20-1	50
19-9	2021_03_15	20-19	50
19-9	2021_03_15	3-19	50
19-9	2021_03_15	7-14	50
19-9	2021_03_15	7-7	50
19-9	2021_03_15	8-14	50
19-9	2021_03_15	8-7	50
19-9	2021_03_15	8-8	50
19-9	2021_03_23	1-1	50
19-9	2021_03_23	1-19	50
19-9	2021_03_23	1-20	50
19-9	2021_03_23	13-7	50
19-9	2021_03_23	14-7	50
19-9	2021_03_23	18-19	50
19-9	2021_03_23	18-2	50
19-9	2021_03_23	19-1	50
19-9	2021_03_23	19-2	50
19-9	2021_03_23	2-1	50
19-9	2021_03_23	20-1	50
19-9	2021_03_23	20-19	50
19-9	2021_03_23	3-19	50
19-9	2021_03_23	7-14	50
19-9	2021_03_23	7-7	50
19-9	2021_03_23	8-14	50
19-9	2021_03_23	8-7	50
19-9	2021_03_23	8-8	50
2-1	2021_03_01	1-1	48
2-1	2021_03_01	1-19	33
2-1	2021_03_01	1-20	23
2-1	2021_03_01	13-7	50
2-1	2021_03_01	14-7	20
2-1	2021_03_01	18-19	50
2-1	2021_03_01	18-2	50
2-1	2021_03_01	19-1	27
2-1	2021_03_01	19-2	50
2-1	2021_03_01	2-1	50
2-1	2021_03_01	20-1	50
2-1	2021_03_01	20-19	14
2-1	2021_03_01	3-19	50
2-1	2021_03_01	7-14	25
2-1	2021_03_01	7-7	16
2-1	2021_03_01	8-14	50
2-1	2021_03_01	8-7	50
2-1	2021_03_01	8-8	32
2-1	2021_03_08	1-1	50
2-1	2021_03_08	1-19	0
2-1	2021_03_08	1-20	0
2-1	2021_03_08	13-7	50
2-1	2021_03_08	14-7	0
2-1	2021_03_08	18-19	50
2-1	2021_03_08	18-2	50
2-1	2021_03_08	19-1	0
2-1	2021_03_08	19-2	50
2-1	2021_03_08	2-1	50
2-1	2021_03_08	20-1	50
2-1	2021_03_08	20-19	0
2-1	2021_03_08	3-19	50
2-1	2021_03_08	7-14	0
2-1	2021_03_08	7-7	0
2-1	2021_03_08	8-14	50
2-1	2021_03_08	8-7	50
2-1	2021_03_08	8-8	0
2-1	2021_03_15	1-1	41
2-1	2021_03_15	1-19	13
2-1	2021_03_15	1-20	0
2-1	2021_03_15	13-7	50
2-1	2021_03_15	14-7	10
2-1	2021_03_15	18-19	50
2-1	2021_03_15	18-2	50
2-1	2021_03_15	19-1	22
2-1	2021_03_15	19-2	0
2-1	2021_03_15	2-1	42
2-1	2021_03_15	20-1	32
2-1	2021_03_15	20-19	12
2-1	2021_03_15	3-19	50
2-1	2021_03_15	7-14	14
2-1	2021_03_15	7-7	14
2-1	2021_03_15	8-14	50
2-1	2021_03_15	8-7	50
2-1	2021_03_15	8-8	14
2-1	2021_03_23	1-1	50
2-1	2021_03_23	1-19	0
2-1	2021_03_23	1-20	9
2-1	2021_03_23	13-7	50
2-1	2021_03_23	14-7	7
2-1	2021_03_23	18-19	50
2-1	2021_03_23	18-2	50
2-1	2021_03_23	19-1	0
2-1	2021_03_23	19-2	37
2-1	2021_03_23	2-1	50
2-1	2021_03_23	20-1	0
2-1	2021_03_23	20-19	7
2-1	2021_03_23	3-19	50
2-1	2021_03_23	7-14	7
2-1	2021_03_23	7-7	5
2-1	2021_03_23	8-14	50
2-1	2021_03_23	8-7	50
2-1	2021_03_23	8-8	7
2-12	2021_03_01	1-1	50
2-12	2021_03_01	1-19	50
2-12	2021_03_01	1-20	50
2-12	2021_03_01	13-7	50
2-12	2021_03_01	14-7	50
2-12	2021_03_01	18-19	50
2-12	2021_03_01	18-2	50
2-12	2021_03_01	19-1	50
2-12	2021_03_01	19-2	50
2-12	2021_03_01	2-1	50
2-12	2021_03_01	20-1	50
2-12	2021_03_01	20-19	50
2-12	2021_03_01	3-19	50
2-12	2021_03_01	7-14	50
2-12	2021_03_01	7-7	50
2-12	2021_03_01	8-14	50
2-12	2021_03_01	8-7	50
2-12	2021_03_01	8-8	50
2-12	2021_03_08	1-1	50
2-12	2021_03_08	1-19	50
2-12	2021_03_08	1-20	50
2-12	2021_03_08	13-7	50
2-12	2021_03_08	14-7	50
2-12	2021_03_08	18-19	50
2-12	2021_03_08	18-2	50
2-12	2021_03_08	19-1	50
2-12	2021_03_08	19-2	50
2-12	2021_03_08	2-1	50
2-12	2021_03_08	20-1	50
2-12	2021_03_08	20-19	50
2-12	2021_03_08	3-19	50
2-12	2021_03_08	7-14	50
2-12	2021_03_08	7-7	50
2-12	2021_03_08	8-14	50
2-12	2021_03_08	8-7	50
2-12	2021_03_08	8-8	50
2-12	2021_03_15	1-1	50
2-12	2021_03_15	1-19	50
2-12	2021_03_15	1-20	50
2-12	2021_03_15	13-7	50
2-12	2021_03_15	14-7	50
2-12	2021_03_15	18-19	50
2-12	2021_03_15	18-2	50
2-12	2021_03_15	19-1	50
2-12	2021_03_15	19-2	50
2-12	2021_03_15	2-1	50
2-12	2021_03_15	20-1	50
2-12	2021_03_15	20-19	50
2-12	2021_03_15	3-19	50
2-12	2021_03_15	7-14	50
2-12	2021_03_15	7-7	50
2-12	2021_03_15	8-14	50
2-12	2021_03_15	8-7	50
2-12	2021_03_15	8-8	50
2-12	2021_03_23	1-1	50
2-12	2021_03_23	1-19	50
2-12	2021_03_23	1-20	50
2-12	2021_03_23	13-7	50
2-12	2021_03_23	14-7	50
2-12	2021_03_23	18-19	50
2-12	2021_03_23	18-2	50
2-12	2021_03_23	19-1	50
2-12	2021_03_23	19-2	50
2-12	2021_03_23	2-1	50
2-12	2021_03_23	20-1	50
2-12	2021_03_23	20-19	50
2-12	2021_03_23	3-19	50
2-12	2021_03_23	7-14	50
2-12	2021_03_23	7-7	50
2-12	2021_03_23	8-14	50
2-12	2021_03_23	8-7	50
2-12	2021_03_23	8-8	50
2-13	2021_03_01	1-1	50
2-13	2021_03_01	1-19	50
2-13	2021_03_01	1-20	50
2-13	2021_03_01	13-7	50
2-13	2021_03_01	14-7	50
2-13	2021_03_01	18-19	50
2-13	2021_03_01	18-2	50
2-13	2021_03_01	19-1	50
2-13	2021_03_01	19-2	50
2-13	2021_03_01	2-1	50
2-13	2021_03_01	20-1	50
2-13	2021_03_01	20-19	50
2-13	2021_03_01	3-19	50
2-13	2021_03_01	7-14	50
2-13	2021_03_01	7-7	50
2-13	2021_03_01	8-14	50
2-13	2021_03_01	8-7	50
2-13	2021_03_01	8-8	50
2-13	2021_03_08	1-1	50
2-13	2021_03_08	1-19	50
2-13	2021_03_08	1-20	50
2-13	2021_03_08	13-7	50
2-13	2021_03_08	14-7	50
2-13	2021_03_08	18-19	50
2-13	2021_03_08	18-2	50
2-13	2021_03_08	19-1	50
2-13	2021_03_08	19-2	50
2-13	2021_03_08	2-1	50
2-13	2021_03_08	20-1	50
2-13	2021_03_08	20-19	50
2-13	2021_03_08	3-19	50
2-13	2021_03_08	7-14	50
2-13	2021_03_08	7-7	50
2-13	2021_03_08	8-14	50
2-13	2021_03_08	8-7	50
2-13	2021_03_08	8-8	50
2-13	2021_03_15	1-1	50
2-13	2021_03_15	1-19	50
2-13	2021_03_15	1-20	50
2-13	2021_03_15	13-7	50
2-13	2021_03_15	14-7	50
2-13	2021_03_15	18-19	50
2-13	2021_03_15	18-2	50
2-13	2021_03_15	19-1	50
2-13	2021_03_15	19-2	50
2-13	2021_03_15	2-1	50
2-13	2021_03_15	20-1	50
2-13	2021_03_15	20-19	50
2-13	2021_03_15	3-19	50
2-13	2021_03_15	7-14	50
2-13	2021_03_15	7-7	50
2-13	2021_03_15	8-14	50
2-13	2021_03_15	8-7	35
2-13	2021_03_15	8-8	50
2-13	2021_03_23	1-1	50
2-13	2021_03_23	1-19	50
2-13	2021_03_23	1-20	50
2-13	2021_03_23	13-7	50
2-13	2021_03_23	14-7	50
2-13	2021_03_23	18-19	50
2-13	2021_03_23	18-2	50
2-13	2021_03_23	19-1	50
2-13	2021_03_23	19-2	50
2-13	2021_03_23	2-1	50
2-13	2021_03_23	20-1	50
2-13	2021_03_23	20-19	50
2-13	2021_03_23	3-19	50
2-13	2021_03_23	7-14	50
2-13	2021_03_23	7-7	50
2-13	2021_03_23	8-14	50
2-13	2021_03_23	8-7	50
2-13	2021_03_23	8-8	50
2-14	2021_03_01	1-1	50
2-14	2021_03_01	1-19	50
2-14	2021_03_01	1-20	50
2-14	2021_03_01	13-7	50
2-14	2021_03_01	14-7	50
2-14	2021_03_01	18-19	50
2-14	2021_03_01	18-2	50
2-14	2021_03_01	19-1	50
2-14	2021_03_01	19-2	50
2-14	2021_03_01	2-1	50
2-14	2021_03_01	20-1	50
2-14	2021_03_01	20-19	50
2-14	2021_03_01	3-19	0
2-14	2021_03_01	7-14	50
2-14	2021_03_01	7-7	50
2-14	2021_03_01	8-14	50
2-14	2021_03_01	8-7	50
2-14	2021_03_01	8-8	50
2-14	2021_03_08	1-1	50
2-14	2021_03_08	1-19	50
2-14	2021_03_08	1-20	50
2-14	2021_03_08	13-7	50
2-14	2021_03_08	14-7	50
2-14	2021_03_08	18-19	50
2-14	2021_03_08	18-2	50
2-14	2021_03_08	19-1	50
2-14	2021_03_08	19-2	50
2-14	2021_03_08	2-1	50
2-14	2021_03_08	20-1	50
2-14	2021_03_08	20-19	50
2-14	2021_03_08	3-19	0
2-14	2021_03_08	7-14	50
2-14	2021_03_08	7-7	50
2-14	2021_03_08	8-14	50
2-14	2021_03_08	8-7	50
2-14	2021_03_08	8-8	50
2-14	2021_03_15	1-1	50
2-14	2021_03_15	1-19	50
2-14	2021_03_15	1-20	50
2-14	2021_03_15	13-7	50
2-14	2021_03_15	14-7	50
2-14	2021_03_15	18-19	50
2-14	2021_03_15	18-2	50
2-14	2021_03_15	19-1	50
2-14	2021_03_15	19-2	50
2-14	2021_03_15	2-1	50
2-14	2021_03_15	20-1	50
2-14	2021_03_15	20-19	50
2-14	2021_03_15	3-19	0
2-14	2021_03_15	7-14	50
2-14	2021_03_15	7-7	50
2-14	2021_03_15	8-14	50
2-14	2021_03_15	8-7	50
2-14	2021_03_15	8-8	50
2-14	2021_03_23	1-1	50
2-14	2021_03_23	1-19	50
2-14	2021_03_23	1-20	50
2-14	2021_03_23	13-7	50
2-14	2021_03_23	14-7	50
2-14	2021_03_23	18-19	50
2-14	2021_03_23	18-2	50
2-14	2021_03_23	19-1	50
2-14	2021_03_23	19-2	50
2-14	2021_03_23	2-1	50
2-14	2021_03_23	20-1	50
2-14	2021_03_23	20-19	50
2-14	2021_03_23	3-19	0
2-14	2021_03_23	7-14	50
2-14	2021_03_23	7-7	50
2-14	2021_03_23	8-14	50
2-14	2021_03_23	8-7	50
2-14	2021_03_23	8-8	50
2-15	2021_03_01	1-1	50
2-15	2021_03_01	1-19	50
2-15	2021_03_01	1-20	50
2-15	2021_03_01	13-7	50
2-15	2021_03_01	14-7	50
2-15	2021_03_01	18-19	50
2-15	2021_03_01	18-2	50
2-15	2021_03_01	19-1	50
2-15	2021_03_01	19-2	50
2-15	2021_03_01	2-1	50
2-15	2021_03_01	20-1	50
2-15	2021_03_01	20-19	50
2-15	2021_03_01	3-19	50
2-15	2021_03_01	7-14	50
2-15	2021_03_01	7-7	50
2-15	2021_03_01	8-14	50
2-15	2021_03_01	8-7	50
